"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.172",156.512312894616,141.305927631046,151.670690761975,150.888552368626,193.391420135426
"result.173",168.161441387436,136.733230317152,137.296396612025,128.965911591434,172.153290833739
"result.174",182.315501944888,114.826666627491,110.454570893608,151.776143195531,184.500959193972
"result.175",177.533220895687,112.88870548802,167.83822726204,148.885510560638,171.541705081646
"result.176",164.096270429404,116.716227915825,156.120713229379,140.449319829211,175.935662421041
"result.177",144.265220015789,159.313179244833,128.440245388789,142.21769235647,174.529053845144
"result.178",163.506258210051,129.303454625556,152.101256606841,187.71037850283,203.86911865509
"result.179",159.676341610603,125.533221649661,118.275019723159,173.317028704571,190.305502250824
"result.180",147.928156758871,122.233968919008,141.50704156112,143.26259541802,157.504403876376
"result.181",130.578498290036,144.320380535264,160.097901526984,145.441909180852,132.935858534797
"result.182",163.939835604814,155.468286273185,179.844968616949,141.446960627684,215.024893534457
"result.183",144.63715217271,144.813136944426,142.000879513646,92.8670358186021,162.051232947191
"result.184",160.427500606282,171.956433022586,159.209322806559,167.570030756248,155.052002447604
"result.185",157.908323682449,163.764310191583,136.255642433381,150.428153921768,160.549045154062
"result.186",172.492681972779,152.075213095527,137.309587365535,180.560794081155,173.729813739435
"result.187",190.961101467449,141.697729432427,136.34773721433,168.921379488173,178.070044306147
"result.188",158.718740619574,130.941639571844,158.688650088485,140.479009428593,156.537045528621
"result.189",146.358861877386,153.97174219404,132.568641661016,163.197961717215,164.547524771022
"result.190",132.132061658348,148.335031408279,153.115784883722,164.482447623499,158.087127457811
"result.191",159.473948148317,146.76927130529,146.442973369773,156.055053911185,162.424001929258
"result.192",169.452921198277,161.896148632767,142.950701774587,125.616673435873,159.644239675862
"result.193",161.235347871747,139.684963361644,147.871303813303,153.11979204111,133.4001494147
"result.194",140.532034717324,167.413859566656,137.962197096572,155.660439627185,140.767678375307
"result.195",158.12023488058,153.964910670518,120.337584088364,129.890535592035,134.677372409123
"result.196",158.582766523758,116.610895005102,124.872883682016,129.525245921785,169.864818189233
"result.197",158.333381776592,176.541264053571,121.377032283906,134.071106235063,164.531080708542
