test_stat,main_stat,p-value
140.5642913,,
150.6122625,,
123.0479763,,
132.2778477,,
141.1776713,,
123.532587,,
118.1699877,,
135.1608429,,
115.4751213,,
150.3465893,,
168.5532294,,
115.2629938,,
129.0877251,,
127.4005836,,
154.2963993,,
137.2074476,,
156.9829474,,
137.5158192,,
143.7626626,,
111.3197164,,
151.8106178,,
134.0562561,,
137.1640501,,
111.1176711,,
143.2785319,,
129.8211913,,
184.2139145,,
117.5651535,,
128.2876068,,
104.3664634,,
155.7389935,,
125.8186823,,
142.24768,,
147.3087676,,
135.8649472,,
113.1362285,,
146.7249346,,
158.3277184,,
122.4920363,,
120.1144193,,
129.1633652,,
172.0563643,,
167.0327497,,
121.9269076,,
168.7073525,,
152.6888189,,
145.6469406,,
161.8764287,,
125.8757168,,
154.4026717,,
155.6313559,,
178.7269285,,
130.5684334,,
178.9589078,,
147.664122,,
116.6862288,,
111.9463843,,
151.6569358,,
155.470427,,
138.2641529,,
131.9069431,,
159.9934765,,
165.4348988,,
136.6638412,,
118.9064836,,
172.5703003,,
118.0603662,,
158.7124903,,
104.5801999,,
110.0459984,,
125.338248,,
129.9386808,,
98.86345659,,
180.2200496,,
162.1339163,,
159.9964197,,
145.2067287,,
142.6330614,,
164.238558,,
180.7984729,,
110.4341238,,
122.5873785,,
119.0020953,,
112.7997096,,
136.0791491,,
134.7941457,,
158.3070549,,
155.898372,,
119.5268121,,
135.4304458,,
139.8141396,,
154.4749798,,
138.1106265,,
128.8789596,,
131.8930427,,
135.3553769,,
110.8469498,,
169.4345828,,
131.6001805,,
118.6537828,,
95.84802363,,
149.20736,,
165.2761204,,
114.3522872,,
131.9023474,,
143.6353569,,
149.5110446,,
114.207737,,
177.2357684,,
131.025867,,
139.1856901,,
134.5620841,,
136.2898501,,
166.7070854,,
120.7119829,,
158.790609,,
131.1938365,,
138.0023199,,
151.694766,,
139.6140063,,
139.7095173,,
116.4787384,,
146.8940825,,
144.3145352,,
161.172445,,
117.4310215,,
146.0162465,,
117.7424417,,
123.9025115,,
151.8994144,,
134.7017673,,
146.9440687,,
172.1460853,,
155.9233281,,
131.450633,,
132.4152524,,
141.417462,,
140.9787146,,
108.2983294,,
145.9482823,,
131.349947,,
155.8351638,,
176.1346366,,
153.8391313,,
147.2985992,,
114.4578422,,
181.937286,,
154.2659199,,
154.295463,,
168.1111504,,
133.1168167,,
117.6773066,,
143.916891,,
135.1559526,,
153.5786293,,
133.6308661,,
155.0306089,,
104.4479763,,
133.4212435,,
146.9725153,,
175.0172634,,
136.759845,,
150.7996428,,
169.264125,,
155.8125036,,
177.2888609,,
129.1289365,,
131.9454037,,
99.91765146,,
187.9465598,,
125.2858063,,
158.1547596,,
141.0547887,,
140.630683,,
142.4780304,,
122.5667147,,
154.7474861,,
147.457994,,
