"TP1_REC1","TP1_REC2","TP1_REC3","TP1_REC4","TP2_REC1","TP2_REC2","TP2_REC3","TP2_REC4","TP3_REC1","TP3_REC2","TP3_REC3","TP3_REC4","ALT_TP31","ALT_TP32","ALT_TP33"
2,2,1,2,2,2,1,1,NA,NA,NA,NA,1,2,NA
1,2,2,2,1,2,2,2,2,2,2,2,10,11,14
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
1,2,2,2,1,2,2,2,2,1,1,2,1,2,10
2,2,2,2,2,1,2,2,2,2,2,2,2,10,14
2,1,1,2,2,1,2,2,NA,NA,NA,NA,2,14,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,1,2,1,2,1,2,2,2,2,2,2,10,11,14
2,1,1,1,2,2,1,1,NA,NA,NA,NA,10,11,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,1,10,NA
1,2,2,2,2,2,2,2,2,2,2,2,1,14,3
2,2,2,2,2,2,1,2,NA,NA,NA,NA,1,2,NA
2,1,2,2,2,1,2,2,1,2,2,2,2,10,11
1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,13,NA
2,2,2,1,2,2,2,2,NA,NA,NA,NA,1,15,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,2,2,1,2,2,2,2,2,1,2,16
1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,1,2,2,2,2,2,1,2,10
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,2,2,2,8,8,8,8,8,8,8,8,10,12,13
1,2,2,2,2,1,2,2,NA,NA,NA,NA,10,11,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,2,2,2,2,2,2,2,2,10,11,15
2,1,2,2,2,1,2,2,NA,NA,NA,NA,13,14,NA
2,2,2,2,2,2,1,2,2,2,1,2,1,11,13
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
1,2,2,2,1,2,2,2,NA,NA,NA,NA,2,3,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
2,2,1,2,2,2,2,2,NA,NA,NA,NA,2,14,NA
2,1,2,2,2,1,2,2,2,1,2,2,1,10,11
2,2,1,2,2,2,2,2,NA,NA,NA,NA,1,2,NA
2,2,2,2,2,2,2,2,2,2,2,2,10,11,14
2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA
2,1,2,2,1,1,1,2,1,1,1,2,2,10,11
2,2,2,1,2,2,2,1,NA,NA,NA,NA,1,2,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1,2,2,2,2,1,1,2,NA,NA,NA,NA,10,11,NA
2,1,2,2,2,2,2,2,NA,NA,NA,NA,13,14,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2,1,1,2,1,2,2,2,NA,NA,NA,NA,10,11,NA
2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA
2,1,1,2,2,1,2,2,2,1,2,2,14,2,8
2,2,2,2,2,2,2,2,2,2,2,2,2,4,8
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA
2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2,2,2,2,2,2,2,2,NA,NA,NA,NA,10,11,NA
1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
