"taks","p-value","test_stat"
306,0.545772886443222,161.505005022277
307,0.549274637318659,137.529796805677
308,0.552276138069035,219.447384471917
309,0.552776388194097,134.917169130414
310,0.540770385192596,193.426700788835
311,0.559779889944973,159.429090031911
312,0.566783391695848,152.46089975639
313,0.558279139569785,161.187996898233
314,0.545272636318159,134.514674551337
315,0.554277138569285,124.119325142515
316,0.557778889444722,189.307995473297
317,0.548774387193597,140.119951345664
318,0.556278139069535,159.737100181126
319,0.554277138569285,174.66209734929
320,0.562281140570285,147.302651088437
321,0.553776888444222,138.16947127618
322,0.564282141070535,138.576150255199
323,0.521260630315158,155.663711612777
324,0.568284142071036,184.79442359489
325,0.572286143071536,170.304630760662
326,0.547273636818409,168.624311082729
327,0.551775887943972,143.858985057557
328,0.558279139569785,165.434426236175
329,0.566283141570785,159.537068093036
330,0.560780390195098,160.869510993675
331,0.552276138069035,138.42301080266
332,0.555777888944472,179.209238700906
333,0.530765382691346,194.23084751707
334,0.56528264132066,135.719684701943
335,0.548274137068534,145.042316256426
336,0.545272636318159,169.783841070571
337,0.540770385192596,168.033978630214
338,0.557778889444722,138.568710680583
339,0.555777888944472,154.242935470084
340,0.565782891445723,153.092658675021
341,0.569284642321161,157.484468226661
342,0.557778889444722,142.526783115152
343,0.572286143071536,140.488753756368
344,0.558279139569785,189.615276407594
345,0.553776888444222,146.759663687154
346,0.575287643821911,166.068862077823
347,0.552776388194097,159.862928883304
348,0.545772886443222,181.915409789505
349,0.558779389694847,184.789554836863
350,0.547773886943472,170.542747832682
351,0.550275137568784,141.325485769984
352,0.553776888444222,153.494523585485
353,0.55727863931966,153.197746759705
354,0.558279139569785,169.939953992613
355,0.552276138069035,175.371368298539
356,0.537768884442221,212.201540827507
357,0.56328164082041,151.482297665237
358,0.55727863931966,155.885686725592
359,0.580790395197599,170.059140399055
360,0.566283141570785,165.073628866386
361,0.537768884442221,141.140021737924
362,0.530765382691346,165.710501480032
363,0.538769384692346,154.675333091561
364,0.580290145072536,139.573197440068
365,0.554277138569285,158.629381024092
366,0.549774887443722,175.146272778931
367,0.552776388194097,160.125164939875
368,0.536768384192096,147.993705202379
369,0.550275137568784,195.575495478712
370,0.566283141570785,143.811995554423
371,0.526763381690845,186.120740330263
372,0.553776888444222,170.090490449189
373,0.565782891445723,145.54936543307
374,0.533266633316658,176.689913810588
375,0.545772886443222,152.942526457529
376,0.560780390195098,171.006901041271
377,0.558779389694847,146.578971863954
378,0.548274137068534,154.352942712445
379,0.542771385692846,169.364562097182
380,0.576788394197099,201.33842133428
381,0.530765382691346,171.584406372568
382,0.556278139069535,150.129126476216
383,0.583291645822911,122.773376229132
384,0.552276138069035,197.300119836699
385,0.561780890445223,166.071119427784
386,0.55327663831916,149.473226097041
387,0.565782891445723,166.317520260646
388,0.562281140570285,132.973024193152
389,0.522261130565283,190.122923348795
390,0.554277138569285,171.765279737468
391,0.553776888444222,165.148388648813
392,0.564782391195598,142.083356539358
393,0.558279139569785,187.9049511566
394,0.553776888444222,141.991893066906
395,0.558779389694847,139.500761999039
396,0.56328164082041,140.809022878581
397,0.563781890945473,177.595700716812
398,0.549774887443722,204.457239842
399,0.547273636818409,182.16052972638
400,0.546273136568284,173.91527191845
401,0.55327663831916,177.874378002865
402,0.56328164082041,154.763969715096
403,0.55727863931966,163.349016406937
404,0.550775387693847,214.684037446265
405,0.558279139569785,163.886265926363
406,0.559779889944973,158.769705995338
407,0.546773386693347,144.817615790413
408,0.551775887943972,147.788864028901
409,0.557778889444722,143.273679038222
410,0.549774887443722,169.313093421831
411,0.563781890945473,140.954271203677
412,0.542771385692846,155.707844459616
413,0.560780390195098,222.891268677023
414,0.578289144572286,140.126884603374
415,0.51375687843922,158.912284599041
416,0.56728364182091,146.560750779568
417,0.566783391695848,174.067762245608
418,0.542771385692846,191.131354392825
419,0.543771885942971,159.408741007964
420,0.543771885942971,151.792731493396
421,0.55527763881941,169.134222273435
422,0.556278139069535,192.606723431672
423,0.571285642821411,151.064772214889
424,0.529264632316158,154.385054012031
425,0.572786393196598,132.178895621985
426,0.558779389694847,174.90916640249
427,0.551775887943972,153.479672207631
428,0.550275137568784,182.364559102047
429,0.55527763881941,134.477248691464
430,0.571285642821411,165.863984778358
431,0.541270635317659,171.278322305909
432,0.548774387193597,157.256218626846
433,0.534767383691846,140.823956990336
434,0.542771385692846,171.671436770809
435,0.56128064032016,143.282037461401
436,0.548774387193597,169.685963154826
437,0.556278139069535,164.672389863057
438,0.552276138069035,183.031313737245
439,0.549774887443722,141.963924381928
440,0.562281140570285,128.851314522151
441,0.55527763881941,155.55722647834
442,0.533266633316658,156.572341235778
443,0.56528264132066,165.720648609674
444,0.56128064032016,164.234575764758
445,0.569284642321161,138.473258422401
446,0.549274637318659,162.940378423076
447,0.538769384692346,182.099307949649
448,0.55327663831916,145.60893580751
449,0.542271135567784,195.896667059604
450,0.55927963981991,149.540960303397
451,0.529264632316158,152.916556532398
452,0.544272136068034,195.910677950464
453,0.562281140570285,192.985478868356
454,0.55327663831916,204.940224973352
455,0.550275137568784,161.783169281661
456,0.549774887443722,159.863935043363
457,0.570285142571286,162.522815147439
458,0.55727863931966,176.452922963416
459,0.553776888444222,164.407304750763
460,0.566283141570785,192.713149024067
461,0.579289644822411,136.642122738828
462,0.526263131565783,179.830142192958
463,0.567783891945973,175.221660256732
464,0.569284642321161,140.800774009344
465,0.549774887443722,185.750017641587
466,0.549774887443722,160.93068224364
467,0.532766383191596,169.601812335986
468,0.557778889444722,169.896477815459
469,0.559779889944973,157.698836111557
470,0.565782891445723,118.053764205926
471,0.571285642821411,151.35361239711
472,0.550775387693847,162.233152562337
473,0.538269134567284,160.529322231914
474,0.564282141070535,171.555620092467
475,0.560780390195098,142.419199508612
476,0.550775387693847,155.898543632589
477,0.556278139069535,203.05336978382
478,0.56728364182091,148.85636502759
479,0.589794897448724,148.00667045782
480,0.546273136568284,162.298660364456
481,0.572286143071536,150.430335020403
482,0.554277138569285,168.118758915756
483,0.554277138569285,178.23258488067
484,0.566783391695848,158.344058240304
485,0.574787393696848,132.66019867483
486,0.553776888444222,170.65170172134
487,0.562281140570285,176.169577936892
488,0.55727863931966,180.244936917465
489,0.575287643821911,151.432605561834
490,0.559779889944973,165.158184048404
491,0.536768384192096,181.216967002932
492,0.512756378189095,207.990271195768
493,0.543771885942971,149.191947091486
494,0.586293146573287,154.952903046838
495,0.560780390195098,180.834255166983
496,0.546273136568284,187.16877331656
497,0.560280140070035,153.801281109561
498,0.554277138569285,166.092326513104
499,0.544772386193097,166.684121661853
500,0.523261630815408,177.191877881789
