"bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
135.415090011313,135.463200130659,164.927819905566,132.070932637928,195.276521065481
188.098719479711,144.465733502364,191.004341383468,184.330392620231,180.192368271969
165.902696619161,128.422507883938,176.683528077439,190.974521061647,142.576572861442
201.178711622657,146.905638329122,153.452055345272,142.544448511901,161.96038494513
150.357388435285,114.620776587694,160.077229626854,139.265332050022,199.288462520302
147.906907297546,121.867507571678,182.422592065731,161.635088229971,151.195672734892
176.84312996602,118.504771045049,192.968872315115,141.258269682952,172.738729932736
220.141255080522,132.46474925738,214.011941704285,140.999653961284,144.157216081362
196.036301690201,110.788123417923,196.510224535474,152.537435503878,149.166078082315
220.106945652882,146.165713804673,201.361018558414,135.351397843366,175.198104165166
193.118425292847,136.155046754211,185.392736434218,183.55739413217,161.53705988366
204.324528622785,141.546552993385,180.482093330897,170.477900360361,170.656003414086
207.92224606802,122.003514148491,214.909330942642,140.723033035384,155.710495924144
169.446355258174,130.59238822034,180.422603631165,146.732696490691,152.986639814879
203.520719068678,145.595277095357,185.252218871711,160.38768084483,189.353488308069
220.05262500388,135.829046798111,192.323490478731,142.505409413324,183.999598250897
165.083125519825,111.533332554632,127.833521510124,123.52970153825,156.817862225957
190.527967767909,130.419746468325,190.698620258271,178.736127302518,184.423929602421
194.947370300625,138.4327465712,220.830035239785,168.256255665761,170.47907912716
168.476702800074,120.503694932687,147.758603602456,152.762928667445,155.427312984448
191.638407232759,116.298720184093,181.698359574938,155.051111663387,172.238705273014
189.512528392165,157.288230124162,162.767074791897,127.375447249618,164.370339093231
188.063596177103,118.398342104201,139.882141945829,140.786068993963,174.966044507686
178.643810102095,122.539429989264,213.706111329985,180.244067473105,185.263373169281
141.642074102147,127.126842660734,202.751023404645,183.910809350889,170.924493060495
185.856794292232,143.584880949479,134.873818167577,141.350405263335,168.434446343285
166.896658921915,143.049875114383,214.809575690659,162.006408956449,157.941373435865
193.744942548267,123.520471034191,219.166844449582,148.300546672717,138.843768064095
201.918166516915,121.883951120979,180.353839646062,152.634373897111,143.411407104585
144.222508288384,164.254634622226,154.384947256274,137.012728610398,179.35360289903
187.030405278777,132.706175179349,189.409360060311,178.586784347243,141.822797356894
159.094532720515,114.49554887904,151.077411193134,140.179193025131,153.869307385673
203.465776941521,153.018262326742,162.852469691128,112.150726483441,219.908379614881
195.454627639818,168.969674647206,185.701803402291,131.295251172999,168.735212184288
187.284611905868,119.626387921975,165.920858798685,128.506745490163,156.238845818379
184.726897483708,140.957406509125,177.708930896752,163.31946921924,131.73774649169
184.102241148491,168.423050901999,183.363271821593,141.791209232433,209.653786299868
154.999326018299,124.159002998845,208.746376700405,124.776232897076,171.973099238407
211.220133654632,117.621291926917,204.909320022774,151.087905307888,162.978805521016
177.087338166887,142.609495027448,165.325218895192,125.221898750037,180.273821078705
197.152808581436,166.826584766544,163.203056160274,166.555558688424,164.653939591699
