"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.40",148.23444763888,171.042724432772,163.11383565791,156.100491990297,152.01192864336
"result.41",159.869978702582,151.109055426382,168.019689436902,170.548044035034,169.896550998707
"result.42",144.829842904753,130.038309581083,134.223354464545,154.028951247371,195.140974418041
"result.43",137.322293153521,191.80353958792,124.908187213996,177.70020240966,199.933459896906
"result.44",139.555303221507,131.968864776465,178.260183838346,208.477795681107,180.508917993281
"result.45",178.292627069481,151.133399374901,161.253376881639,156.4535138023,160.829336608352
"result.46",171.470457879099,132.403383993172,164.94675034106,157.725376414875,159.349598988089
"result.47",158.31703868945,189.483393371267,197.468706015517,174.142161399081,155.839027419992
"result.48",181.859766669145,143.451352064342,169.676798631408,182.846457109283,181.637164593839
"result.49",172.972534140431,152.677974648924,154.531326824051,178.193958927502,162.5813427449
"result.50",194.770567231152,182.24246501914,193.515273624725,173.710291522725,189.298800540448
"result.51",211.64533293381,149.625525149626,176.942833606217,187.359465010833,192.036352662976
"result.52",181.509035586331,184.753120944296,159.615966706201,187.266137069447,167.033495562532
"result.53",169.684325046037,141.948226157671,169.938772434702,170.184868358644,184.854936157281
"result.54",195.11685336221,146.189359042242,130.810548783277,157.606720867506,146.536854767334
"result.55",179.14973149951,173.717842089886,163.896079038318,163.251704746974,176.462590698248
"result.56",180.682034630013,155.259168476902,178.735343122237,136.553672193048,187.408679137074
"result.57",176.964901703525,183.218295008812,209.099062150517,170.780299285832,160.378494233292
"result.58",174.791292199633,179.339842334223,194.241200773302,148.366404187746,160.039724342797
"result.59",179.239778500569,218.326863894138,152.513144171398,123.909932239659,181.885446596155
"result.60",169.721538891978,159.594054585166,154.33870554033,134.501232311349,172.342665124822
"result.61",147.869847952513,172.855646886569,201.299214982547,113.074560834175,177.843815364991
"result.62",161.528020440878,139.355492404737,141.884494865963,171.401266895092,143.191428744664
"result.63",182.83323739304,173.985048508797,165.22729736213,136.550453644491,237.465744306896
"result.64",191.290972120154,175.944260439931,155.190045931442,160.605992460837,181.770652370984
"result.65",209.471728147503,172.789005531897,148.566676282652,170.491370974614,200.137684283192
"result.66",141.779309943732,119.166625152428,178.207526869211,126.123325485376,145.70381824822
"result.67",139.372368099835,134.424018800884,161.136832911951,143.535783104139,172.078882712137
"result.68",198.544891709419,157.852848983523,139.022370445827,155.937318547506,142.204469359448
"result.69",188.213929888255,142.687358905528,160.318548867361,141.242835356799,243.958076499458
"result.70",175.307400998954,201.154514162379,152.903527176226,213.716456622739,182.464958434126
"result.71",133.781452296296,152.240404979761,160.74573145895,145.373939704169,200.751596682165
"result.72",173.762340485911,185.655390564385,171.454336127023,142.168091140947,193.296450216365
"result.73",194.128513835805,142.603348176757,158.109154740299,128.106210389022,164.996476735995
"result.74",143.965665848085,145.123653208019,176.77396066843,142.658743111916,202.611611638863
"result.75",158.359501682653,167.6834376681,185.230007616835,140.549468841222,147.525127386199
"result.76",195.30345315821,170.779865851891,207.638843004039,170.714532113882,168.837513858954
"result.77",162.746849237826,134.691686758518,207.958556312001,157.471035708105,207.268446148687
