"","taks","p-value","test_stat"
"278",278,0,388.321126494307
"279",279,0,393.955060361454
"280",280,0,341.767361200631
"281",281,0,298.589620769767
"282",282,0,337.121016113851
"283",283,0,309.1501635012
"284",284,0,369.80284581147
"285",285,0,313.63873399848
"286",286,0,324.046789029167
"287",287,0,357.704007808977
"288",288,0,257.160879034339
"289",289,0,313.474879878654
"290",290,0,335.258870435151
"291",291,0,350.141854903082
"292",292,0,277.043564510769
"293",293,0,324.25677269687
"294",294,0,311.686392310909
"295",295,0,295.197909610053
"296",296,0,378.304696830211
"297",297,0,400.653052907381
"298",298,0,321.319982265625
"299",299,0,360.20439567343
"300",300,0,288.415329691443
"301",301,0,348.364172728685
"302",302,0,350.620584462616
"303",303,0,323.164121103028
"304",304,0,354.025434218379
"305",305,0,391.203368927944
"306",306,0,324.759262945289
"307",307,0,366.712485784985
"308",308,0,357.191372063223
"309",309,0,370.424171032584
"310",310,0,299.547914825292
"311",311,0,373.866963108768
"312",312,0,391.308231668747
"313",313,0,314.887505719602
"314",314,0,332.101120407179
"315",315,0,393.559112995852
"316",316,0,266.523365818016
"317",317,0,333.331040035724
"318",318,0,321.789952605646
"319",319,0,372.181218136923
"320",320,0,339.871635700667
"321",321,0,355.646273714304
"322",322,0,265.224685410508
"323",323,0,357.965796640446
"324",324,0,287.012363731978
"325",325,0,366.555357317736
"326",326,0,340.190341138702
"327",327,0,324.118470250057
"328",328,0,339.622075319627
"329",329,0,383.207375346849
"330",330,0,314.646108271396
"331",331,0,340.979500381811
"332",332,0,344.263108216329
"333",333,0,372.189576150092
"334",334,0,351.24738518064
"335",335,0,309.335136323166
"336",336,0,368.071821436304
"337",337,0,231.855430551733
"338",338,0,410.855789814087
"339",339,0,317.708293779211
"340",340,0,265.037107951811
"341",341,0,378.059116888893
"342",342,0,334.242370900966
"343",343,0,344.004876470724
"344",344,0,316.273827613666
"345",345,0,288.969702465947
"346",346,0,263.397278711012
"347",347,0,341.329003489009
"348",348,0,300.637942878708
"349",349,0,403.940794857751
"350",350,0,311.913694216423
"351",351,0,309.620481985109
"352",352,0,336.611931366331
"353",353,0,359.168003384125
"354",354,0,385.3067566564
"355",355,0,341.163677838287
"356",356,0,344.41198100068
"357",357,0,340.428844793287
"358",358,0,355.191725321996
"359",359,0,379.069765602813
"360",360,0,367.162233351212
"361",361,0,314.694911476263
"362",362,0,350.73456048824
"363",363,0,309.909819846051
"364",364,0,335.905865554272
"365",365,0,378.345147433191
"366",366,0,338.041780330894
"367",367,0,270.474148253167
"368",368,0,349.220484327883
"369",369,0,378.816183691014
"370",370,0,375.440848390398
"371",371,0,357.161139729447
"372",372,0,319.045498898478
"373",373,0,289.028113012862
"374",374,0,380.372622506554
"375",375,0,288.548839525681
"376",376,0,295.392209411617
"377",377,0,318.537002377164
"378",378,0,371.018230638948
"379",379,0,270.742423697454
"380",380,0,330.221795507411
"381",381,0,351.294379728817
"382",382,0,389.195795019238
"383",383,0,352.765340526926
"384",384,0,355.951785066683
"385",385,0,396.870667511289
"386",386,0,286.2864219007
"387",387,0,309.999981117522
"388",388,0,347.471781133432
"389",389,0,391.541250979531
